Matchday,1. FC Koeln,1. FSV Mainz 05,Bayer Leverkusen,Bayern Munich,Borussia Dortmund,Borussia Moenchengladbach,Eintracht Frankfurt,FC Augsburg,Hamburger SV,Hannover 96,Hertha BSC,SC Freiburg,SC Paderborn,Schalke 04,SV Werder Bremen,TSG 1899 Hoffenheim,VfB Stuttgart,VfL Wolfsburg
1,12,6,1,3,17,10,5,17,12,3,6,16,6,14,6,1,10,14
2,4,10,1,5,8,11,5,18,17,7,15,14,2,13,9,3,16,12
3,9,7,1,2,4,5,10,12,18,3,15,14,5,16,11,8,17,13
4,8,2,5,4,10,7,12,9,17,6,15,14,1,16,13,3,18,11
5,9,5,2,1,8,6,10,11,18,3,14,15,7,13,16,4,17,12
6,13,5,3,1,12,2,7,8,18,6,14,16,11,10,17,4,15,9
7,14,6,4,1,13,3,5,10,17,8,12,15,9,11,18,2,16,7
8,11,4,6,1,14,2,8,12,16,10,13,17,7,9,18,3,15,5
9,10,6,5,1,15,2,11,9,16,7,13,17,8,12,18,4,14,3
10,11,9,5,1,17,3,12,10,14,6,13,16,7,8,18,4,15,2
11,9,8,6,1,15,3,12,7,17,4,14,13,10,11,16,5,18,2
12,11,9,4,1,16,3,12,6,15,5,13,14,10,7,17,8,18,2
13,12,11,3,1,18,5,9,4,17,8,13,15,10,6,14,7,16,2
14,12,11,4,1,14,6,7,3,13,9,15,16,10,5,17,8,18,2
15,11,12,3,1,16,5,8,4,14,9,13,15,10,6,17,7,18,2
16,10,11,4,1,16,3,9,6,14,8,13,17,12,5,18,7,15,2
17,11,12,3,1,17,4,9,6,14,8,13,18,10,5,16,7,15,2
18,10,11,6,1,18,3,9,5,16,8,15,14,13,4,12,7,17,2
19,10,12,5,1,18,3,9,4,13,8,17,15,14,6,11,7,16,2
20,11,13,6,1,16,5,9,4,12,10,14,17,15,3,8,7,18,2
21,11,14,6,1,15,3,9,5,13,10,17,16,12,4,8,7,18,2
22,13,11,6,1,12,3,9,5,14,10,17,16,15,4,8,7,18,2
23,13,12,4,1,10,3,8,6,15,11,14,17,16,5,9,7,18,2
24,11,13,4,1,10,3,9,6,15,12,14,17,16,5,8,7,18,2
25,12,11,4,1,10,3,8,6,15,13,14,17,16,5,9,7,18,2
26,12,11,4,1,10,3,8,6,16,14,13,15,17,5,9,7,18,2
27,13,12,4,1,10,3,8,6,16,14,11,15,17,5,9,7,18,2
28,11,13,4,1,10,3,8,6,18,15,12,14,16,5,9,7,17,2
29,12,11,3,1,9,4,10,6,18,15,13,14,16,5,7,8,17,2
30,12,10,4,1,8,3,11,6,16,15,13,14,17,5,9,7,18,2
31,11,10,4,1,9,3,12,6,14,17,13,16,15,5,7,8,18,2
32,10,12,4,1,7,3,11,5,14,16,13,15,17,6,8,9,18,2
33,12,10,4,1,7,3,11,6,17,15,13,14,18,5,8,9,16,2
34,12,11,4,1,7,3,9,5,16,13,15,17,18,6,10,8,14,2
